Time,Actuator
1,F73
6,OUTW73:0
7,C96
22,C73
32,F1
42,F37
52,F2
62,F38
72,F3
82,F39
92,F4
102,F40
112,F5
122,F41
132,F6
142,F42
152,F7
162,F43
172,F8
182,F44
192,F9
202,F45
212,F10
222,F46
232,F11
242,F47
252,F12
262,F48
272,F13
282,F49
292,F14
302,F50
312,F15
322,F51
332,F16
342,F52
352,F17
362,F53
372,F18
382,F54
392,F19
402,F55
412,F20
422,F56
432,F21
442,F57
452,F22
462,F58
472,F23
482,F59
492,F74
497,OUTW74:0
498,C96
513,C74
523,F1
533,F37
543,F2
553,F38
563,F3
573,F39
583,F4
593,F40
603,F5
613,F41
623,F6
633,F42
643,F7
653,F43
663,F8
673,F44
683,F9
693,F45
703,F10
713,F46
723,F11
733,F47
743,F12
753,F48
763,F13
773,F49
783,F14
793,F50
803,F15
813,F51
823,F16
833,F52
843,F17
853,F53
863,F18
873,F54
883,F19
893,F55
903,F20
913,F56
923,F21
933,F57
943,F22
953,F58
963,F23
973,F59
983,F75
988,OUTW75:0
989,C96
1004,C75
1014,F1
1024,F37
1034,F2
1044,F38
1054,F3
1064,F39
1074,F4
1084,F40
1094,F5
1104,F41
1114,F6
1124,F42
1134,F7
1144,F43
1154,F8
1164,F44
1174,F9
1184,F45
1194,F10
1204,F46
1214,F11
1224,F47
1234,F12
1244,F48
1254,F13
1264,F49
1274,F14
1284,F50
1294,F15
1304,F51
1314,F16
1324,F52
1334,F17
1344,F53
1354,F18
1364,F54
1374,F19
1384,F55
1394,F20
1404,F56
1414,F21
1424,F57
1434,F22
1444,F58
1454,F23
1464,F59
1474,F76
1479,OUTW76:0
1480,C96
1495,C76
1505,F1
1515,F37
1525,F2
1535,F38
1545,F3
1555,F39
1565,F4
1575,F40
1585,F5
1595,F41
1605,F6
1615,F42
1625,F7
1635,F43
1645,F8
1655,F44
1665,F9
1675,F45
1685,F10
1695,F46
1705,F11
1715,F47
1725,F12
1735,F48
1745,F13
1755,F49
1765,F14
1775,F50
1785,F15
1795,F51
1805,F16
1815,F52
1825,F17
1835,F53
1845,F18
1855,F54
1865,F19
1875,F55
1885,F20
1895,F56
1905,F21
1915,F57
1925,F22
1935,F58
1945,F23
1955,F59
1965,F77
1970,OUTW77:0
1971,C96
1986,C77
1996,F1
2006,F37
2016,F2
2026,F38
2036,F3
2046,F39
2056,F4
2066,F40
2076,F5
2086,F41
2096,F6
2106,F42
2116,F7
2126,F43
2136,F8
2146,F44
2156,F9
2166,F45
2176,F10
2186,F46
2196,F11
2206,F47
2216,F12
2226,F48
2236,F13
2246,F49
2256,F14
2266,F50
2276,F15
2286,F51
2296,F16
2306,F52
2316,F17
2326,F53
2336,F18
2346,F54
2356,F19
2366,F55
2376,F20
2386,F56
2396,F21
2406,F57
2416,F22
2426,F58
2436,F23
2446,F59
2456,F78
2461,OUTW78:0
2462,C96
2477,C78
2487,F1
2497,F37
2507,F2
2517,F38
2527,F3
2537,F39
2547,F4
2557,F40
2567,F5
2577,F41
2587,F6
2597,F42
2607,F7
2617,F43
2627,F8
2637,F44
2647,F9
2657,F45
2667,F10
2677,F46
2687,F11
2697,F47
2707,F12
2717,F48
2727,F13
2737,F49
2747,F14
2757,F50
2767,F15
2777,F51
2787,F16
2797,F52
2807,F17
2817,F53
2827,F18
2837,F54
2847,F19
2857,F55
2867,F20
2877,F56
2887,F21
2897,F57
2907,F22
2917,F58
2927,F23
2937,F59
2947,F79
2952,OUTW79:0
2953,C96
2968,C79
2978,F1
2988,F37
2998,F2
3008,F38
3018,F3
3028,F39
3038,F4
3048,F40
3058,F5
3068,F41
3078,F6
3088,F42
3098,F7
3108,F43
3118,F8
3128,F44
3138,F9
3148,F45
3158,F10
3168,F46
3178,F11
3188,F47
3198,F12
3208,F48
3218,F13
3228,F49
3238,F14
3248,F50
3258,F15
3268,F51
3278,F16
3288,F52
3298,F17
3308,F53
3318,F18
3328,F54
3338,F19
3348,F55
3358,F20
3368,F56
3378,F21
3388,F57
3398,F22
3408,F58
3418,F23
3428,F59
3438,F80
3443,OUTW80:0
3444,C96
3459,C80
3469,F1
3479,F37
3489,F2
3499,F38
3509,F3
3519,F39
3529,F4
3539,F40
3549,F5
3559,F41
3569,F6
3579,F42
3589,F7
3599,F43
3609,F8
3619,F44
3629,F9
3639,F45
3649,F10
3659,F46
3669,F11
3679,F47
3689,F12
3699,F48
3709,F13
3719,F49
3729,F14
3739,F50
3749,F15
3759,F51
3769,F16
3779,F52
3789,F17
3799,F53
3809,F18
3819,F54
3829,F19
3839,F55
3849,F20
3859,F56
3869,F21
3879,F57
3889,F22
3899,F58
3909,F23
3919,F59
3929,F82
3934,OUTW82:0
3935,C96
3950,C82
3960,F1
3970,F37
3980,F2
3990,F38
4000,F3
4010,F39
4020,F4
4030,F40
4040,F5
4050,F41
4060,F6
4070,F42
4080,F7
4090,F43
4100,F8
4110,F44
4120,F9
4130,F45
4140,F10
4150,F46
4160,F11
4170,F47
4180,F12
4190,F48
4200,F13
4210,F49
4220,F14
4230,F50
4240,F15
4250,F51
4260,F16
4270,F52
4280,F17
4290,F53
4300,F18
4310,F54
4320,F19
4330,F55
4340,F20
4350,F56
4360,F21
4370,F57
4380,F22
4390,F58
4400,F23
4410,F59
4420,F83
4425,OUTW83:0
4426,C96
4441,C83
4451,F1
4461,F37
4471,F2
4481,F38
4491,F3
4501,F39
4511,F4
4521,F40
4531,F5
4541,F41
4551,F6
4561,F42
4571,F7
4581,F43
4591,F8
4601,F44
4611,F9
4621,F45
4631,F10
4641,F46
4651,F11
4661,F47
4671,F12
4681,F48
4691,F13
4701,F49
4711,F14
4721,F50
4731,F15
4741,F51
4751,F16
4761,F52
4771,F17
4781,F53
4791,F18
4801,F54
4811,F19
4821,F55
4831,F20
4841,F56
4851,F21
4861,F57
4871,F22
4881,F58
4891,F23
4901,F59
4911,F84
4916,OUTW84:0
4917,C96
4932,C84
4942,F1
4952,F37
4962,F2
4972,F38
4982,F3
4992,F39
5002,F4
5012,F40
5022,F5
5032,F41
5042,F6
5052,F42
5062,F7
5072,F43
5082,F8
5092,F44
5102,F9
5112,F45
5122,F10
5132,F46
5142,F11
5152,F47
5162,F12
5172,F48
5182,F13
5192,F49
5202,F14
5212,F50
5222,F15
5232,F51
5242,F16
5252,F52
5262,F17
5272,F53
5282,F18
5292,F54
5302,F19
5312,F55
5322,F20
5332,F56
5342,F21
5352,F57
5362,F22
5372,F58
5382,F23
5392,F59
5402,F85
5407,OUTW85:0
5408,C96
5423,C85
5433,F1
5443,F37
5453,F2
5463,F38
5473,F3
5483,F39
5493,F4
5503,F40
5513,F5
5523,F41
5533,F6
5543,F42
5553,F7
5563,F43
5573,F8
5583,F44
5593,F9
5603,F45
5613,F10
5623,F46
5633,F11
5643,F47
5653,F12
5663,F48
5673,F13
5683,F49
5693,F14
5703,F50
5713,F15
5723,F51
5733,F16
5743,F52
5753,F17
5763,F53
5773,F18
5783,F54
5793,F19
5803,F55
5813,F20
5823,F56
5833,F21
5843,F57
5853,F22
5863,F58
5873,F23
5883,F59
5893,F86
5898,OUTW86:0
5899,C96
5914,C86
5924,F1
5934,F37
5944,F2
5954,F38
5964,F3
5974,F39
5984,F4
5994,F40
6004,F5
6014,F41
6024,F6
6034,F42
6044,F7
6054,F43
6064,F8
6074,F44
6084,F9
6094,F45
6104,F10
6114,F46
6124,F11
6134,F47
6144,F12
6154,F48
6164,F13
6174,F49
6184,F14
6194,F50
6204,F15
6214,F51
6224,F16
6234,F52
6244,F17
6254,F53
6264,F18
6274,F54
6284,F19
6294,F55
6304,F20
6314,F56
6324,F21
6334,F57
6344,F22
6354,F58
6364,F23
6374,F59
6384,F87
6389,OUTW87:0
6390,C96
6405,C87
6415,F1
6425,F37
6435,F2
6445,F38
6455,F3
6465,F39
6475,F4
6485,F40
6495,F5
6505,F41
6515,F6
6525,F42
6535,F7
6545,F43
6555,F8
6565,F44
6575,F9
6585,F45
6595,F10
6605,F46
6615,F11
6625,F47
6635,F12
6645,F48
6655,F13
6665,F49
6675,F14
6685,F50
6695,F15
6705,F51
6715,F16
6725,F52
6735,F17
6745,F53
6755,F18
6765,F54
6775,F19
6785,F55
6795,F20
6805,F56
6815,F21
6825,F57
6835,F22
6845,F58
6855,F23
6865,F59
6875,F88
6880,OUTW88:0
6881,C96
6896,C88
6906,F1
6916,F37
6926,F2
6936,F38
6946,F3
6956,F39
6966,F4
6976,F40
6986,F5
6996,F41
7006,F6
7016,F42
7026,F7
7036,F43
7046,F8
7056,F44
7066,F9
7076,F45
7086,F10
7096,F46
7106,F11
7116,F47
7126,F12
7136,F48
7146,F13
7156,F49
7166,F14
7176,F50
7186,F15
7196,F51
7206,F16
7216,F52
7226,F17
7236,F53
7246,F18
7256,F54
7266,F19
7276,F55
7286,F20
7296,F56
7306,F21
7316,F57
7326,F22
7336,F58
7346,F23
7356,F59
7366,F89
7371,OUTW89:0
7372,C96
7387,C89
7397,F1
7407,F37
7417,F2
7427,F38
7437,F3
7447,F39
7457,F4
7467,F40
7477,F5
7487,F41
7497,F6
7507,F42
7517,F7
7527,F43
7537,F8
7547,F44
7557,F9
7567,F45
7577,F10
7587,F46
7597,F11
7607,F47
7617,F12
7627,F48
7637,F13
7647,F49
7657,F14
7667,F50
7677,F15
7687,F51
7697,F16
7707,F52
7717,F17
7727,F53
7737,F18
7747,F54
7757,F19
7767,F55
7777,F20
7787,F56
7797,F21
7807,F57
7817,F22
7827,F58
7837,F23
7847,F59
7857,F90
7862,OUTW90:0
7863,C96
7878,C90
7888,F1
7898,F37
7908,F2
7918,F38
7928,F3
7938,F39
7948,F4
7958,F40
7968,F5
7978,F41
7988,F6
7998,F42
8008,F7
8018,F43
8028,F8
8038,F44
8048,F9
8058,F45
8068,F10
8078,F46
8088,F11
8098,F47
8108,F12
8118,F48
8128,F13
8138,F49
8148,F14
8158,F50
8168,F15
8178,F51
8188,F16
8198,F52
8208,F17
8218,F53
8228,F18
8238,F54
8248,F19
8258,F55
8268,F20
8278,F56
8288,F21
8298,F57
8308,F22
8318,F58
8328,F23
8338,F59
8348,F91
8353,OUTW91:0
8354,C96
8369,C91
8379,F1
8389,F37
8399,F2
8409,F38
8419,F3
8429,F39
8439,F4
8449,F40
8459,F5
8469,F41
8479,F6
8489,F42
8499,F7
8509,F43
8519,F8
8529,F44
8539,F9
8549,F45
8559,F10
8569,F46
8579,F11
8589,F47
8599,F12
8609,F48
8619,F13
8629,F49
8639,F14
8649,F50
8659,F15
8669,F51
8679,F16
8689,F52
8699,F17
8709,F53
8719,F18
8729,F54
8739,F19
8749,F55
8759,F20
8769,F56
8779,F21
8789,F57
8799,F22
8809,F58
8819,F23
8829,F59
8839,F92
8844,OUTW92:0
8845,C96
8860,C92
8870,F1
8880,F37
8890,F2
8900,F38
8910,F3
8920,F39
8930,F4
8940,F40
8950,F5
8960,F41
8970,F6
8980,F42
8990,F7
9000,F43
9010,F8
9020,F44
9030,F9
9040,F45
9050,F10
9060,F46
9070,F11
9080,F47
9090,F12
9100,F48
9110,F13
9120,F49
9130,F14
9140,F50
9150,F15
9160,F51
9170,F16
9180,F52
9190,F17
9200,F53
9210,F18
9220,F54
9230,F19
9240,F55
9250,F20
9260,F56
9270,F21
9280,F57
9290,F22
9300,F58
9310,F23
9320,F59
9330,F93
9335,OUTW93:0
9336,C96
9351,C93
9361,F1
9371,F37
9381,F2
9391,F38
9401,F3
9411,F39
9421,F4
9431,F40
9441,F5
9451,F41
9461,F6
9471,F42
9481,F7
9491,F43
9501,F8
9511,F44
9521,F9
9531,F45
9541,F10
9551,F46
9561,F11
9571,F47
9581,F12
9591,F48
9601,F13
9611,F49
9621,F14
9631,F50
9641,F15
9651,F51
9661,F16
9671,F52
9681,F17
9691,F53
9701,F18
9711,F54
9721,F19
9731,F55
9741,F20
9751,F56
9761,F21
9771,F57
9781,F22
9791,F58
9801,F23
9811,F59
9821,F94
9826,OUTW94:0
9827,C96
9842,C94
9852,F1
9862,F37
9872,F2
9882,F38
9892,F3
9902,F39
9912,F4
9922,F40
9932,F5
9942,F41
9952,F6
9962,F42
9972,F7
9982,F43
9992,F8
10002,F44
10012,F9
10022,F45
10032,F10
10042,F46
10052,F11
10062,F47
10072,F12
10082,F48
10092,F13
10102,F49
10112,F14
10122,F50
10132,F15
10142,F51
10152,F16
10162,F52
10172,F17
10182,F53
10192,F18
10202,F54
10212,F19
10222,F55
10232,F20
10242,F56
10252,F21
10262,F57
10272,F22
10282,F58
10292,F23
10302,F59
10312,F95
10317,OUTW95:0
10318,C96
10333,C95
10343,F1
10353,F37
10363,F2
10373,F38
10383,F3
10393,F39
10403,F4
10413,F40
10423,F5
10433,F41
10443,F6
10453,F42
10463,F7
10473,F43
10483,F8
10493,F44
10503,F9
10513,F45
10523,F10
10533,F46
10543,F11
10553,F47
10563,F12
10573,F48
10583,F13
10593,F49
10603,F14
10613,F50
10623,F15
10633,F51
10643,F16
10653,F52
10663,F17
10673,F53
10683,F18
10693,F54
10703,F19
10713,F55
10723,F20
10733,F56
10743,F21
10753,F57
10763,F22
10773,F58
10783,F23
10793,F59
